,model_name,dataset,atk_name,atk_param,eps,nb_epoch,top1acc,top5acc,UER,label_dist0,label_dist1,label_dist2,label_dist3,label_dist4,label_dist5,label_dist6,label_dist7,label_dist8,label_dist9,tgt_success
10,resnet20_Q2,svhn,sgd-tgt,0,10,10,0.4572833435771359,0.8719652735095267,0.5427166564228642,0.5374923171481254,0.04886293792255685,0.09111862323294406,0.0521281499692686,0.0495159803318992,0.037031346035648435,0.0636140135218193,0.030462507682851882,0.03733866011063307,0.052435464044253234,0.5374923171481254
11,resnet20_Q2,svhn,sgd-tgt,0,12,10,0.3645897357098955,0.8301321450522434,0.6354102642901045,0.6465119852489244,0.04344652735095268,0.06299938537185003,0.04990012292563,0.03511063306699447,0.028426551936078667,0.04651966810079902,0.020590043023970498,0.0281960663798402,0.03829901659496005,0.6465119852489244
12,resnet20_Q2,svhn,sgd-tgt,1,2,10,0.946181622618316,0.9943146896127842,0.05381837738168405,0.06530424093423479,0.19875537799631224,0.16195451751690226,0.11001843884449908,0.09595881991395204,0.09188690842040566,0.07509987707436999,0.07694376152427783,0.061309157959434535,0.06276889981561155,0.19875537799631224
13,resnet20_Q2,svhn,sgd-tgt,1,4,10,0.9031960663798402,0.991318377381684,0.09680393362015982,0.057506146281499686,0.23836047940995694,0.15427166564228642,0.1073678549477566,0.09038875230485556,0.09157959434542104,0.07206515058389673,0.06987553779963122,0.059964658881376774,0.058620159803318986,0.23836047940995694
14,resnet20_Q2,svhn,sgd-tgt,1,6,10,0.8051628764597418,0.97380147510756,0.19483712354025814,0.04575138291333744,0.33485709895513216,0.13329748002458516,0.08762292562999385,0.07786570374923171,0.08504917025199754,0.06461278426551936,0.058620159803318986,0.05984941610325752,0.05247387830362631,0.33485709895513216
15,resnet20_Q2,svhn,sgd-tgt,1,8,10,0.6617240319606638,0.9301628764597418,0.33827596803933624,0.03192224953902889,0.4807928703134604,0.10122157344806393,0.07198832206515059,0.05700676090964967,0.0760218192993239,0.05270436385986478,0.04094960049170252,0.04651966810079902,0.040872771972956363,0.4807928703134604
16,resnet20_Q2,svhn,sgd-tgt,1,10,10,0.5727566072526121,0.8800322679778734,0.4272433927473879,0.02431622618315919,0.5648432698217578,0.08451137062077442,0.0580439459127228,0.04817148125384143,0.06879993853718501,0.04490626920712969,0.028925937307928706,0.041525814382298715,0.035955746773202214,0.5648432698217578
17,resnet20_Q2,svhn,sgd-tgt,1,12,10,0.5004225568531039,0.8463429625076828,0.4995774431468961,0.018515673017824214,0.6298017824216349,0.0647280270436386,0.06257682851874616,0.03849108789182545,0.052012907191149364,0.047710510141364466,0.03564843269821758,0.028580208973570987,0.021934542102028276,0.6298017824216349
18,resnet20_Q2,svhn,sgd-tgt,2,2,10,0.9396896127842655,0.994737246465888,0.06031038721573445,0.06526582667486171,0.1900737553779963,0.1727105101413645,0.11001843884449908,0.09419176398279043,0.09046558082360172,0.07390903503380455,0.07905654578979718,0.061693300553165326,0.06261524277811924,0.1727105101413645
19,resnet20_Q2,svhn,sgd-tgt,2,4,10,0.8649354640442533,0.9890135218192994,0.13506453595574675,0.0611939151813153,0.16253073140749846,0.24485248924400735,0.10414105716041797,0.08766133988936692,0.08447295636140137,0.06634142593730794,0.07248770743700061,0.058389674247080525,0.05792870313460356,0.24485248924400735
