,model_name,dataset,atk_name,atk_param,eps,nb_epoch,top1acc,top5acc,UER,label_dist0,label_dist1,label_dist2,label_dist3,label_dist4,label_dist5,label_dist6,label_dist7,label_dist8,label_dist9,tgt_success
26,resnet20_Q2,cifar10,sgd-tgt,3,6,10,0.6972,0.9677,0.3028,0.0691,0.0791,0.0928,0.1734,0.13,0.0518,0.1447,0.0603,0.0747,0.1241,0.1734
27,resnet20_Q2,cifar10,sgd-tgt,3,8,10,0.585,0.9279,0.415,0.0528,0.076,0.1102,0.2171,0.0884,0.0374,0.1674,0.0459,0.0579,0.1469,0.2171
28,resnet20_Q2,cifar10,sgd-tgt,3,10,10,0.5047,0.904,0.4953,0.0468,0.0647,0.0894,0.2302,0.064,0.0226,0.2467,0.0401,0.0468,0.1487,0.2302
29,resnet20_Q2,cifar10,sgd-tgt,3,12,10,0.4425,0.857,0.5575,0.0384,0.0692,0.0893,0.2409,0.0528,0.0182,0.221,0.0285,0.0361,0.2056,0.2409
30,resnet20_Q2,cifar10,sgd-tgt,4,2,10,0.892,0.9969,0.10799999999999997,0.0949,0.0984,0.0963,0.0926,0.1143,0.1006,0.1057,0.09300000000000001,0.1043,0.0999,0.1143
31,resnet20_Q2,cifar10,sgd-tgt,4,4,10,0.8128,0.9902,0.18720000000000006,0.0824,0.0893,0.0918,0.0891,0.1619,0.0817,0.1216,0.0783,0.095,0.1089,0.1619
32,resnet20_Q2,cifar10,sgd-tgt,4,6,10,0.6828,0.9825,0.31720000000000004,0.0624,0.078,0.0761,0.0698,0.2953,0.0598,0.1086,0.0624,0.079,0.1086,0.2953
33,resnet20_Q2,cifar10,sgd-tgt,4,8,10,0.5354,0.9654,0.4646,0.0459,0.0648,0.0435,0.0396,0.4558,0.0386,0.1146,0.0452,0.0508,0.1012,0.4558
34,resnet20_Q2,cifar10,sgd-tgt,4,10,10,0.4175,0.9513,0.5825,0.0298,0.0562,0.0333,0.0238,0.6027,0.024,0.0683,0.0353,0.0365,0.0901,0.6027
35,resnet20_Q2,cifar10,sgd-tgt,4,12,10,0.3211,0.8951,0.6789000000000001,0.0134,0.0482,0.0352,0.0273,0.7065,0.0169,0.040999999999999995,0.0218,0.0203,0.0694,0.7065
36,resnet20_Q2,cifar10,sgd-tgt,5,2,10,0.8869,0.9966,0.11309999999999998,0.0924,0.0988,0.0972,0.0932,0.1121,0.1038,0.1071,0.091,0.1042,0.1002,0.1038
37,resnet20_Q2,cifar10,sgd-tgt,5,4,10,0.8251,0.9909,0.17490000000000006,0.0751,0.0916,0.1013,0.0915,0.1149,0.0986,0.1357,0.0854,0.1023,0.1036,0.0986
38,resnet20_Q2,cifar10,sgd-tgt,5,6,10,0.7413,0.982,0.25870000000000004,0.0678,0.079,0.1144,0.1052,0.11900000000000001,0.091,0.136,0.0705,0.09300000000000001,0.1241,0.091
39,resnet20_Q2,cifar10,sgd-tgt,5,8,10,0.6124,0.9474,0.3876,0.0524,0.0539,0.0924,0.1249,0.1235,0.1455,0.1466,0.0518,0.0728,0.1362,0.1455
40,resnet20_Q2,cifar10,sgd-tgt,5,10,10,0.5468,0.9242,0.4532000000000001,0.0444,0.055999999999999994,0.0962,0.0876,0.1444,0.2152,0.1307,0.044000000000000004,0.0721,0.1094,0.2152
41,resnet20_Q2,cifar10,sgd-tgt,5,12,10,0.4642,0.8887,0.5358,0.0206,0.0423,0.1774,0.0619,0.1244,0.2865,0.0954,0.0393,0.0522,0.1,0.2865
42,resnet20_Q2,cifar10,sgd-tgt,6,2,10,0.9006,0.9968,0.09940000000000004,0.0956,0.0995,0.0985,0.0932,0.1047,0.1012,0.1081,0.0956,0.1045,0.0991,0.1081
43,resnet20_Q2,cifar10,sgd-tgt,6,4,10,0.7891,0.9883,0.2109,0.066,0.0946,0.0854,0.0883,0.0904,0.0854,0.2005,0.0839,0.106,0.0995,0.2005
44,resnet20_Q2,cifar10,sgd-tgt,6,6,10,0.6381,0.9745,0.3619,0.0426,0.087,0.0562,0.0679,0.0652,0.0569,0.3511,0.0707,0.1004,0.102,0.3511
45,resnet20_Q2,cifar10,sgd-tgt,6,8,10,0.4976,0.9582,0.5024,0.0266,0.0809,0.0477,0.0385,0.0506,0.0311,0.5193,0.054000000000000006,0.0677,0.0836,0.5193
46,resnet20_Q2,cifar10,sgd-tgt,6,10,10,0.3538,0.9364,0.6462,0.0128,0.0631,0.0252,0.0238,0.0229,0.0199,0.6936,0.0349,0.0497,0.0541,0.6936
47,resnet20_Q2,cifar10,sgd-tgt,6,12,10,0.2788,0.888,0.7212000000000001,0.0064,0.0442,0.023,0.013000000000000001,0.0192,0.0087,0.7725,0.0263,0.0396,0.0471,0.7725
